year,tercile,coef_ols,se_ols,pval_ols,coef_wls,se_wls,pval_wls,sample
2018,T2,-0.0022717438172575287,0.001676215280404869,0.17572785453665807,-0.0025298501207573205,0.0014615625212465457,0.08386896631322305,Balanced Panel
2018,T1,-0.00027505450910890374,0.0021288860331494775,0.34859009852379264,-0.00033167830183107377,0.0019301563577247434,0.2551193574555193,Balanced Panel
2018,T3,-0.0017968099983620982,0.0029441282274331017,0.8718874272452044,-0.0014595911084590773,0.0025105386798510007,0.6700044327950647,Balanced Panel
2019,T2,-0.0020777433324565583,0.0018388889486441868,0.2588764697486332,-0.0016732495843518713,0.0017727756054049507,0.3455398759182833,Balanced Panel
2019,T1,0.0002842277669453915,0.0023966999255115922,0.32468533869802574,-0.0011315764324994725,0.0022139849788878293,0.8067854546911957,Balanced Panel
2019,T3,-0.004518312446788034,0.0031675247020700676,0.44124285791466233,-0.003975468219678632,0.002750769248324535,0.40288974199224037,Balanced Panel
2021,T2,-0.0012749521338584762,0.0014396420499784765,0.37610947253638427,-0.0010632902639940865,0.0013183052403923355,0.42017157291494245,Balanced Panel
2021,T1,-0.0014381634063864446,0.0020930390191115484,0.9378658390140686,-0.0008790447836773256,0.002046717105190202,0.9282948821833243,Balanced Panel
2021,T3,-0.00605718991816858,0.002480408882160613,0.0542244881913061,-0.004950378886279879,0.0024424554389378384,0.11191750078797513,Balanced Panel
2022,T2,0.0,0.0,,0.0,0.0,,Balanced Panel
2022,T1,0.0,0.0,,0.0,0.0,,Balanced Panel
2022,T3,0.0,0.0,,0.0,0.0,,Balanced Panel
2023,T2,0.006303967266096896,0.006466748120852275,0.32995371948457075,0.001434865615521519,0.0016240826892448483,0.37724754398919114,Balanced Panel
2023,T1,0.005986363632198242,0.006768574423533237,0.9625866295921881,0.005371653658371307,0.0020902288222072523,0.060021981165000016,Balanced Panel
2023,T3,0.004481214885873677,0.006886058501571128,0.7913104583816672,0.005547364581355938,0.002281659912196946,0.07187356669455203,Balanced Panel
2024,T2,0.007506589686086833,0.0025277672961361193,0.003074591925410264,0.007536006507716825,0.0018827381222491421,6.872336798924294e-05,Balanced Panel
2024,T1,0.009737235384000634,0.004065710065534022,0.5834067809042751,0.007402535748180388,0.002348181759235207,0.9546874555784617,Balanced Panel
2024,T3,0.008765652790367836,0.0038293052366665677,0.7423993082770668,0.009111285270603776,0.003505606188133261,0.6532993503073956,Balanced Panel
