pitcher_id,pitcher_name,season,level_key,league_name,total_opps,sb,cs,attempts,games,attempt_rate,success_rate,sb_rate
519166,Neil Ramírez,2019,highA,Florida State League,1,0,0,0,1,0.0,,0.0
519242,Chris Sale,2021,aa,Double-A Northeast,3,1,0,1,2,0.3333333333333333,1.0,0.3333333333333333
519246,Andres Santiago,2019,aa,Southern League,22,2,0,2,8,0.09090909090909091,1.0,0.09090909090909091
519322,Drew Storen,2019,aa,Texas League,19,0,1,1,9,0.05263157894736842,0.0,0.0
519455,Jordan Zimmermann,2019,highA,Florida State League,3,0,0,0,1,0.0,,0.0
520980,Pedro Báez,2021,singleA,Low-A East,1,1,0,1,2,1.0,1.0,1.0
523260,Joe Kelly,2021,singleA,Low-A West,1,0,0,0,2,0.0,,0.0
528748,Humberto Castellanos,2019,highA,Carolina League,39,0,1,1,15,0.02564102564102564,0.0,0.0
529017,Alexander Cornielle,2021,singleA,Low-A East,13,2,0,2,2,0.15384615384615385,1.0,0.15384615384615385
532936,Mario Sanchez,2019,aa,Eastern League,70,1,1,2,23,0.02857142857142857,0.5,0.014285714285714285
532936,Mario Sanchez,2021,aa,Double-A Northeast,78,4,0,4,22,0.05128205128205128,1.0,0.05128205128205128
534910,Jesse Hahn,2019,highA,Carolina League,3,1,0,1,3,0.3333333333333333,1.0,0.3333333333333333
534947,Tim Adleman,2019,aa,Eastern League,5,0,0,0,2,0.0,,0.0
542587,Elvis Araujo,2019,aa,Southern League,30,2,1,3,19,0.1,0.6666666666666666,0.06666666666666667
542882,Matt Andriese,2019,highA,California League,2,0,0,0,2,0.0,,0.0
542947,Richard Bleier,2019,aa,Eastern League,3,0,0,0,2,0.0,,0.0
542947,Richard Bleier,2019,highA,Carolina League,1,0,0,0,2,0.0,,0.0
543219,Sean Gilmartin,2021,aa,Double-A Central,9,0,0,0,3,0.0,,0.0
543234,Rayan González,2019,aa,Eastern League,58,5,1,6,44,0.10344827586206896,0.8333333333333334,0.08620689655172414
543238,Anthony Gose,2019,aa,Eastern League,31,0,0,0,23,0.0,,0.0
543238,Anthony Gose,2019,highA,Carolina League,10,0,1,1,10,0.1,0.0,0.0
543278,Blaine Hardy,2019,highA,Florida State League,0,0,0,0,2,,,
543359,Dan Jennings,2019,aa,Eastern League,3,0,0,0,3,0.0,,0.0
543359,Dan Jennings,2019,highA,Florida State League,2,1,0,1,2,0.5,1.0,0.5
543408,Tom Koehler,2019,aa,Eastern League,1,0,0,0,1,0.0,,0.0
543409,Michael Kohn,2019,aa,Southern League,16,0,0,0,21,0.0,,0.0
543521,Collin McHugh,2019,aa,Texas League,3,1,0,1,3,0.3333333333333333,1.0,0.3333333333333333
543557,Mike Montgomery,2019,aa,Southern League,3,0,0,0,1,0.0,,0.0
543594,Sean Nolin,2019,aa,Southern League,19,1,2,3,4,0.15789473684210525,0.3333333333333333,0.05263157894736842
543734,Chris Rusin,2019,aa,Eastern League,4,0,0,0,3,0.0,,0.0
543883,Nick Vincent,2019,highA,California League,1,0,0,0,2,0.0,,0.0
543903,Allen Webster,2019,aa,Southern League,8,1,0,1,6,0.125,1.0,0.125
543942,Rob Wooten,2019,aa,Southern League,25,4,1,5,6,0.2,0.8,0.16
544365,Manny Bañuelos,2019,highA,Carolina League,13,0,0,0,2,0.0,,0.0
545343,Louis Head,2019,aa,Texas League,11,0,0,0,6,0.0,,0.0
545346,Zach Lee,2019,aa,Eastern League,30,1,0,1,8,0.03333333333333333,1.0,0.03333333333333333
545404,Brandon Beachy,2019,aa,Eastern League,58,11,2,13,11,0.22413793103448276,0.8461538461538461,0.1896551724137931
547001,Cody Poteet,2019,aa,Southern League,57,7,1,8,13,0.14035087719298245,0.875,0.12280701754385964
547007,Rob Whalen,2021,aa,Double-A Central,2,1,0,1,1,0.5,1.0,0.5
547177,Phil Pfeifer,2019,aa,Southern League,32,2,0,2,11,0.0625,1.0,0.0625
547177,Phil Pfeifer,2019,highA,Florida State League,73,5,0,5,16,0.0684931506849315,1.0,0.0684931506849315
547177,Phil Pfeifer,2021,aa,Double-A Northeast,26,1,1,2,9,0.07692307692307693,0.5,0.038461538461538464
547184,Michael Kelly,2021,aa,Double-A Central,5,0,0,0,6,0.0,,0.0
547185,Peter Tago,2021,aa,Double-A South,46,3,0,3,26,0.06521739130434782,1.0,0.06521739130434782
548337,Logan Verrett,2019,aa,Texas League,24,2,1,3,7,0.125,0.6666666666666666,0.08333333333333333
553883,Jose Campos,2019,aa,Eastern League,31,3,0,3,20,0.0967741935483871,1.0,0.0967741935483871
554234,Williams Pérez,2019,aa,Texas League,71,10,3,13,13,0.18309859154929578,0.7692307692307693,0.14084507042253522
554234,Williams Pérez,2019,highA,Florida State League,0,0,0,0,2,,,
554241,Andy Otero,2021,aa,Double-A South,27,6,1,7,16,0.25925925925925924,0.8571428571428571,0.2222222222222222
554431,Tyler Matzek,2019,aa,Southern League,5,1,0,1,4,0.2,1.0,0.2
570632,José Ureña,2019,aa,Southern League,0,0,0,0,2,,,
570632,José Ureña,2019,highA,Florida State League,0,0,0,0,1,,,
571440,Jeff Ames,2019,aa,Southern League,45,12,2,14,25,0.3111111111111111,0.8571428571428571,0.26666666666666666
571446,Mark Appel,2021,aa,Double-A Northeast,28,2,1,3,8,0.10714285714285714,0.6666666666666666,0.07142857142857142
571479,Andrew Bellatti,2019,aa,Eastern League,30,7,0,7,21,0.23333333333333334,1.0,0.23333333333333334
571479,Andrew Bellatti,2019,highA,Florida State League,8,0,0,0,4,0.0,,0.0
571479,Andrew Bellatti,2021,aa,Double-A South,4,1,0,1,4,0.25,1.0,0.25
571561,Tony Cingrani,2019,highA,California League,0,0,0,0,1,,,
571638,James Dykstra,2021,aa,Double-A Northeast,6,0,0,0,5,0.0,,0.0
571638,James Dykstra,2021,singleA,Low-A Southeast,1,1,0,1,1,1.0,1.0,1.0
571670,Dylan Floro,2019,highA,California League,2,0,0,0,2,0.0,,0.0
571687,Ian Gardeck,2019,aa,Southern League,18,1,1,2,17,0.1111111111111111,0.5,0.05555555555555555
571687,Ian Gardeck,2019,highA,Florida State League,0,0,0,0,1,,,
571727,Scott Griggs,2019,aa,Eastern League,38,7,0,7,45,0.18421052631578946,1.0,0.18421052631578946
571736,Brooks Hall,2021,aa,Double-A South,7,2,0,2,2,0.2857142857142857,1.0,0.2857142857142857
571751,Jordan Harrison,2019,aa,Southern League,52,4,1,5,35,0.09615384615384616,0.8,0.07692307692307693
571772,Hector Hernandez,2019,aa,Eastern League,2,0,0,0,2,0.0,,0.0
571772,Hector Hernandez,2019,highA,Carolina League,44,4,2,6,14,0.13636363636363635,0.6666666666666666,0.09090909090909091
571825,James Jones,2019,aa,Texas League,59,0,0,0,40,0.0,,0.0
571858,Branden Kline,2019,aa,Eastern League,2,0,1,1,3,0.5,0.0,0.0
571911,Damien Magnifico,2019,aa,Southern League,50,1,2,3,36,0.06,0.3333333333333333,0.02
571917,Parker Markel,2019,aa,Texas League,2,0,0,0,5,0.0,,0.0
571939,Trey McNutt,2019,aa,Texas League,22,2,0,2,15,0.09090909090909091,1.0,0.09090909090909091
571945,Miles Mikolas,2021,aa,Double-A Central,11,0,0,0,2,0.0,,0.0
571993,Chris Nunn,2019,aa,Texas League,16,0,0,0,14,0.0,,0.0
571993,Chris Nunn,2021,aa,Double-A Central,9,0,0,0,5,0.0,,0.0
571993,Chris Nunn,2021,aa,Double-A South,17,0,1,1,14,0.058823529411764705,0.0,0.0
572070,Garrett Richards,2019,highA,California League,16,2,1,3,3,0.1875,0.6666666666666666,0.125
572089,Paco Rodríguez,2019,aa,Texas League,11,0,1,1,7,0.09090909090909091,0.0,0.0
572096,Trevor Rosenthal,2019,aa,Eastern League,9,1,0,1,10,0.1111111111111111,1.0,0.1111111111111111
572102,Keyvius Sampson,2019,aa,Eastern League,10,2,0,2,2,0.2,1.0,0.2
572102,Keyvius Sampson,2021,singleA,Low-A East,3,0,1,1,2,0.3333333333333333,0.0,0.0
572125,Sam Selman,2019,aa,Eastern League,4,1,0,1,4,0.25,1.0,0.25
572193,Ryan Tepera,2019,highA,Florida State League,0,0,0,0,2,,,
572362,Robbie Erlin,2019,highA,California League,5,0,0,0,3,0.0,,0.0
572371,Tyler Higgins,2019,aa,Texas League,3,1,0,1,5,0.3333333333333333,1.0,0.3333333333333333
572371,Tyler Higgins,2019,highA,California League,0,0,0,0,1,,,
572403,Drew VerHagen,2019,highA,Florida State League,0,0,0,0,1,,,
572406,Sam Wolff,2019,aa,Eastern League,28,4,1,5,25,0.17857142857142858,0.8,0.14285714285714285
572958,Zack Jones,2019,aa,Eastern League,12,0,1,1,4,0.08333333333333333,0.0,0.0
572971,Dallas Keuchel,2019,aa,Southern League,11,0,0,0,1,0.0,,0.0
573009,Joe Mantiply,2019,aa,Southern League,4,0,0,0,1,0.0,,0.0
573062,Aaron Northcraft,2019,aa,Texas League,0,0,0,0,3,,,
582494,Robby Scott,2019,aa,Southern League,0,0,0,0,2,,,
591611,Johan Belisario,2019,aa,Southern League,63,1,2,3,23,0.047619047619047616,0.3333333333333333,0.015873015873015872
591693,Edubray Ramos,2019,aa,Eastern League,0,0,0,0,1,,,
591693,Edubray Ramos,2019,highA,Florida State League,0,0,0,0,3,,,
592094,Jason Adam,2019,highA,Florida State League,1,1,0,1,1,1.0,1.0,1.0
592102,Cody Allen,2019,highA,Florida State League,2,0,0,0,4,0.0,,0.0
592105,Stetson Allie,2019,aa,Texas League,11,2,0,2,9,0.18181818181818182,1.0,0.18181818181818182
592127,Johnny Barbato,2021,aa,Double-A Northeast,82,6,1,7,17,0.08536585365853659,0.8571428571428571,0.07317073170731707
592169,Austin Brice,2019,highA,Florida State League,3,0,0,0,4,0.0,,0.0
592189,Yordy Cabrera,2019,aa,Texas League,71,7,0,7,38,0.09859154929577464,1.0,0.09859154929577464
592230,Kaleb Cowart,2019,aa,Southern League,5,2,0,2,3,0.4,1.0,0.4
592254,José De León,2019,highA,Florida State League,5,0,0,0,2,0.0,,0.0
592296,John Fasola,2019,aa,Texas League,7,1,1,2,5,0.2857142857142857,0.5,0.14285714285714285
592329,Jason García,2019,aa,Southern League,69,3,0,3,10,0.043478260869565216,1.0,0.043478260869565216
592329,Jason García,2021,aa,Double-A Central,39,1,2,3,12,0.07692307692307693,0.3333333333333333,0.02564102564102564
592332,Kevin Gausman,2019,aa,Southern League,3,1,0,1,1,0.3333333333333333,1.0,0.3333333333333333
592332,Kevin Gausman,2019,highA,Florida State League,6,1,0,1,1,0.16666666666666666,1.0,0.16666666666666666
592336,Daniel Gibson,2019,aa,Southern League,9,0,0,0,4,0.0,,0.0
592411,Ben Holmes,2019,aa,Texas League,19,2,0,2,5,0.10526315789473684,1.0,0.10526315789473684
592422,Jason Hursh,2019,aa,Southern League,50,4,0,4,34,0.08,1.0,0.08
592438,Chase Johnson,2019,aa,Eastern League,76,2,3,5,29,0.06578947368421052,0.4,0.02631578947368421
592438,Chase Johnson,2019,highA,California League,1,1,0,1,1,1.0,1.0,1.0
592455,Jake Kalish,2019,aa,Texas League,4,0,0,0,3,0.0,,0.0
592570,Akeel Morris,2021,aa,Double-A Northeast,33,1,2,3,10,0.09090909090909091,0.3333333333333333,0.030303030303030304
592600,Chace Numata,2019,aa,Eastern League,3,0,0,0,1,0.0,,0.0
592630,Ronald Peña,2019,aa,Eastern League,37,4,1,5,25,0.13513513513513514,0.8,0.10810810810810811
592717,Aaron Sanchez,2021,singleA,Low-A West,3,1,0,1,1,0.3333333333333333,1.0,0.3333333333333333
592761,Caleb Smith,2019,aa,Southern League,4,1,0,1,2,0.25,1.0,0.25
592789,Noah Syndergaard,2021,singleA,Low-A Southeast,1,1,0,1,2,1.0,1.0,1.0
592815,Sam Tuivailala,2019,aa,Texas League,1,0,1,1,5,1.0,0.0,0.0
592815,Sam Tuivailala,2019,highA,California League,2,0,0,0,6,0.0,,0.0
592826,Vince Velasquez,2021,singleA,Low-A Southeast,3,0,0,0,4,0.0,,0.0
592831,Konner Wade,2019,aa,Eastern League,79,5,1,6,17,0.0759493670886076,0.8333333333333334,0.06329113924050633
592833,Bobby Wahl,2021,aa,Double-A South,2,0,0,0,2,0.0,,0.0
592848,Zack Weiss,2019,aa,Southern League,26,4,1,5,10,0.19230769230769232,0.8,0.15384615384615385
593163,Carlos Navas,2019,aa,Eastern League,28,3,0,3,20,0.10714285714285714,1.0,0.10714285714285714
593163,Carlos Navas,2021,aa,Double-A Northeast,10,0,0,0,15,0.0,,0.0
593372,Carlos Martinez,2019,aa,Texas League,4,0,0,0,1,0.0,,0.0
593468,Claudio Custodio,2019,aa,Southern League,74,2,1,3,31,0.04054054054054054,0.6666666666666666,0.02702702702702703
593468,Claudio Custodio,2021,aa,Double-A Northeast,6,0,0,0,3,0.0,,0.0
593527,Ramón Torres,2019,aa,Southern League,0,0,0,0,1,,,
593574,Luis González,2019,aa,Eastern League,17,1,0,1,15,0.058823529411764705,1.0,0.058823529411764705
593580,Dario Beltre,2019,aa,Southern League,72,7,2,9,27,0.125,0.7777777777777778,0.09722222222222222
593604,Alberto Baldonado,2021,aa,Double-A Northeast,4,1,1,2,6,0.5,0.5,0.25
593633,Victor Payano,2019,aa,Southern League,22,3,1,4,16,0.18181818181818182,0.75,0.13636363636363635
593974,Wandy Peralta,2021,aa,Double-A Northeast,0,0,0,0,3,,,
593977,Johendí Jiminian,2019,aa,Southern League,111,11,1,12,28,0.10810810810810811,0.9166666666666666,0.0990990990990991
594027,Tayron Guerrero,2019,highA,Florida State League,1,0,0,0,4,0.0,,0.0
594311,Jandel Gustave,2019,highA,California League,0,0,0,0,3,,,
594580,Sam Moll,2019,aa,Eastern League,56,2,1,3,35,0.05357142857142857,0.6666666666666666,0.03571428571428571
594747,Logan Bawcom,2019,aa,Texas League,16,2,0,2,5,0.125,1.0,0.125
594760,Aaron Blair,2021,aa,Double-A Northeast,49,8,3,11,9,0.22448979591836735,0.7272727272727273,0.16326530612244897
594798,Jacob deGrom,2021,singleA,Low-A Southeast,2,1,0,1,1,0.5,1.0,0.5
594891,Aaron Kurcz,2019,aa,Southern League,16,2,0,2,26,0.125,1.0,0.125
594965,Daniel Ponce de Leon,2021,aa,Double-A Central,2,0,0,0,1,0.0,,0.0
594985,Ben Rowen,2019,aa,Southern League,18,2,0,2,9,0.1111111111111111,1.0,0.1111111111111111
595191,Jerad Eickhoff,2019,aa,Eastern League,8,3,0,3,2,0.375,1.0,0.375
595191,Jerad Eickhoff,2019,highA,Florida State League,4,0,0,0,2,0.0,,0.0
595237,Ryan Halstead,2019,aa,Eastern League,58,10,2,12,33,0.20689655172413793,0.8333333333333334,0.1724137931034483
595255,Mitch Horacek,2019,aa,Eastern League,43,4,2,6,34,0.13953488372093023,0.6666666666666666,0.09302325581395349
595263,Mickey Jannis,2019,aa,Eastern League,137,10,2,12,20,0.08759124087591241,0.8333333333333334,0.072992700729927
595263,Mickey Jannis,2021,aa,Double-A Northeast,34,3,1,4,6,0.11764705882352941,0.75,0.08823529411764706
595296,Chris Lee,2019,aa,Eastern League,1,0,0,0,1,0.0,,0.0
595389,David Roseboom,2019,aa,Eastern League,19,2,1,3,8,0.15789473684210525,0.6666666666666666,0.10526315789473684
595411,Ryan Sherriff,2019,highA,Florida State League,3,0,0,0,1,0.0,,0.0
595893,Bryan Brickhouse,2019,aa,Texas League,10,0,0,0,7,0.0,,0.0
595893,Bryan Brickhouse,2019,highA,Carolina League,4,0,0,0,4,0.0,,0.0
595893,Bryan Brickhouse,2021,aa,Double-A Central,51,6,2,8,19,0.1568627450980392,0.75,0.11764705882352941
595918,A.J. Cole,2021,singleA,Low-A Southeast,0,0,0,0,1,,,
595926,Jason Creasy,2019,aa,Southern League,29,3,0,3,19,0.10344827586206896,1.0,0.10344827586206896
595929,Dylan Davis,2019,aa,Eastern League,0,0,0,0,1,,,
595966,John Gorman,2019,aa,Texas League,69,4,2,6,43,0.08695652173913043,0.6666666666666666,0.057971014492753624
595988,Heath Holder,2019,aa,Eastern League,69,0,1,1,29,0.014492753623188406,0.0,0.0
595995,Andrew Istler,2019,aa,Eastern League,12,1,0,1,10,0.08333333333333333,1.0,0.08333333333333333
595995,Andrew Istler,2019,highA,Carolina League,22,3,0,3,16,0.13636363636363635,1.0,0.13636363636363635
596035,Reggie McClain,2019,aa,Texas League,12,0,0,0,6,0.0,,0.0
596035,Reggie McClain,2019,highA,California League,11,1,0,1,6,0.09090909090909091,1.0,0.09090909090909091
596052,Benton Moss,2019,aa,Southern League,6,0,1,1,4,0.16666666666666666,0.0,0.0
596052,Benton Moss,2019,highA,Florida State League,6,0,0,0,2,0.0,,0.0
596111,Jordan Stephens,2019,aa,Eastern League,16,2,0,2,9,0.125,1.0,0.125
596111,Jordan Stephens,2019,highA,Carolina League,0,0,0,0,1,,,
596271,Casey Lawrence,2021,aa,Double-A Northeast,13,2,0,2,4,0.15384615384615385,1.0,0.15384615384615385
596295,Austin Gomber,2019,aa,Texas League,1,1,0,1,3,1.0,1.0,1.0
596295,Austin Gomber,2019,highA,Florida State League,3,0,0,0,1,0.0,,0.0
596720,Dovydas Neverauskas,2019,highA,Florida State League,0,0,0,0,2,,,
598264,Matt Barnes,2021,aa,Double-A Northeast,3,0,0,0,1,0.0,,0.0
598271,Brian Johnson,2019,aa,Eastern League,9,2,0,2,3,0.2222222222222222,1.0,0.2222222222222222
598286,Nick Ramirez,2019,aa,Eastern League,5,0,0,0,3,0.0,,0.0
598287,Noé Ramirez,2019,highA,California League,0,0,0,0,1,,,
599644,Josh Tols,2019,aa,Eastern League,2,1,0,1,2,0.5,1.0,0.5
600011,Daniel McGrath,2019,aa,Eastern League,85,5,5,10,27,0.11764705882352941,0.5,0.058823529411764705
600355,Tyler Herb,2019,aa,Eastern League,50,10,0,10,10,0.2,1.0,0.2
600355,Tyler Herb,2021,aa,Double-A Central,75,4,4,8,17,0.10666666666666667,0.5,0.05333333333333334
600853,Jose Adames,2021,aa,Double-A Northeast,19,1,0,1,19,0.05263157894736842,1.0,0.05263157894736842
600944,David Paulino,2021,aa,Double-A Northeast,2,0,0,0,1,0.0,,0.0
601714,Jordan Procyshen,2021,aa,Double-A Central,17,0,0,0,7,0.0,,0.0
601975,Deiner Lopez,2019,highA,Carolina League,1,0,0,0,1,0.0,,0.0
602080,Erick Castillo,2019,aa,Southern League,0,0,0,0,1,,,
602080,Erick Castillo,2021,aa,Double-A South,4,1,0,1,2,0.25,1.0,0.25
602112,Alfredo Reyes,2019,aa,Eastern League,0,0,0,0,1,,,
602929,Markus Solbach,2019,aa,Texas League,39,2,0,2,8,0.05128205128205128,1.0,0.05128205128205128
602929,Markus Solbach,2021,aa,Double-A Central,1,1,0,1,1,1.0,1.0,1.0
605135,Chris Bassitt,2019,highA,California League,0,0,0,0,1,,,
605182,Mike Clevinger,2019,aa,Eastern League,5,2,1,3,1,0.6,0.6666666666666666,0.4
605184,Trey Cochran-Gill,2019,aa,Texas League,70,2,1,3,35,0.04285714285714286,0.6666666666666666,0.02857142857142857
605184,Trey Cochran-Gill,2019,highA,California League,17,0,0,0,9,0.0,,0.0
605194,Jharel Cotton,2019,highA,California League,4,2,0,2,4,0.5,1.0,0.5
605218,Carl Edwards Jr.,2021,singleA,Low-A Southeast,2,0,0,0,1,0.0,,0.0
605232,Brandon Finnegan,2019,aa,Southern League,19,4,1,5,13,0.2631578947368421,0.8,0.21052631578947367
605255,Brett Graves,2019,aa,Southern League,35,3,0,3,32,0.08571428571428572,1.0,0.08571428571428572
605255,Brett Graves,2021,aa,Double-A Central,42,3,1,4,21,0.09523809523809523,0.75,0.07142857142857142
605280,Clay Holmes,2019,aa,Eastern League,7,1,0,1,2,0.14285714285714285,1.0,0.14285714285714285
605335,Brandon Leibrandt,2021,aa,Double-A South,44,2,2,4,7,0.09090909090909091,0.5,0.045454545454545456
605338,Jacob Lindgren,2019,highA,Carolina League,24,0,0,0,12,0.0,,0.0
605356,Tyler Mapes,2019,aa,Eastern League,152,15,3,18,25,0.11842105263157894,0.8333333333333334,0.09868421052631579
605368,Mason McCullough,2019,aa,Southern League,13,0,0,0,5,0.0,,0.0
605388,Adam Morgan,2019,aa,Eastern League,0,0,0,0,1,,,
605446,Dereck Rodríguez,2019,highA,California League,1,0,0,0,1,0.0,,0.0
605448,Bradley Roney,2019,aa,Southern League,19,1,0,1,20,0.05263157894736842,1.0,0.05263157894736842
605448,Bradley Roney,2019,highA,Florida State League,5,0,0,0,8,0.0,,0.0
605448,Bradley Roney,2021,aa,Double-A Northeast,1,0,0,0,3,0.0,,0.0
605495,Wyatt Strahan,2019,aa,Southern League,82,8,1,9,35,0.10975609756097561,0.8888888888888888,0.0975609756097561
605507,Zach Thompson,2019,aa,Southern League,3,0,1,1,4,0.3333333333333333,0.0,0.0
605521,Art Warren,2019,aa,Texas League,29,6,0,6,29,0.20689655172413793,1.0,0.20689655172413793
606127,Jose Rafael De Paula,2019,aa,Southern League,3,0,0,0,2,0.0,,0.0
606160,Rafael Montero,2019,aa,Texas League,13,1,0,1,5,0.07692307692307693,1.0,0.07692307692307693
606167,Adalberto Mejía,2019,aa,Southern League,1,0,0,0,4,0.0,,0.0
606167,Adalberto Mejía,2019,highA,Florida State League,0,0,0,0,2,,,
606190,Jorgan Cavanerio,2019,aa,Texas League,22,0,0,0,7,0.0,,0.0
