"entity_name","entity_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"Butera, Drew","460077",115,"34","85.7","0.75","18","1.98","1.98","1.97","3","1.54",,"1.54"
"Lopez, Raffy","607257",135,"30","81.5","0.74","8","2.02","1.98","2.05","0",,,
"Díaz, Elias","553869",134,"27","84.7","0.72","18","1.98","1.98","1.98","2","1.45","1.44","1.46"
"Perez, Salvador","521692",118,"28","82.2","0.69","38","1.98","1.98","1.96","1","1.53",,"1.53"
"Wieters, Matt","446308",120,"32","79.8","0.72","22","2.01","1.99","2.02","4","1.56","1.55","1.58"
"Severino, Pedro","600474",120,"24","84.3","0.71","21","1.98","1.99","1.98","0",,,
"Lucroy, Jonathan","518960",133,"32","80.8","0.69","42","2","1.99","2.01","3","1.59","1.59",
"Holaday, Bryan","592407",146,"30","81.9","0.73","22","2","1.99","2.02","1","1.49",,"1.49"
"Nottingham, Jacob","641924",158,"23","82.3","0.85","1","2","2",,"0",,,
"Graterol, Juan","492802",142,"29",,"0.8","1","2","2",,"0",,,
"Wallach, Chad","595453",146,"26","81.9","0.73","4","1.96","2","1.95","1","1.58","1.58",
"Zunino, Mike","572287",136,"27","81.2","0.72","25","2.02","2","2.04","2","1.69","1.64","1.74"
"Posey, Buster","457763",137,"31","82.6","0.73","30","2.01","2.01","2.01","4","1.56",,"1.56"
"Wolters, Tony","547172",115,"26","78.5","0.65","19","1.99","2.01","1.97","2","1.49","1.56","1.43"
"Hundley, Nick","460026",137,"34","80.3","0.74","30","2.04","2.01","2.05","2","1.6","1.6",
"Phegley, Josh","572033",133,"30","80","0.7","8","2.02","2.01","2.02","1","1.6","1.6",
"Lobaton, Jose","446653",121,"33","81","0.77","5","2.06","2.01","2.07","1","1.67","1.67",
"Hicks, John","543308",116,"28","84.4","0.69","10","1.97","2.01","1.96","0",,,
"Briceño, José","593993",108,"25","81.2","0.69","12","2","2.02","1.99","0",,,
"Kratz, Erik","456124",158,"38","84.1","0.76","21","2.02","2.02","2.02","2","1.69","1.87","1.52"
"Wynns, Austin","642851",110,"27","79.5","0.7","10","2.01","2.02","1.99","1","1.49",,"1.49"
"Murphy, Tom","608596",115,"27","85.4","0.77","7","2.02","2.02","2.02","0",,,
"Moore, Adam","446192",139,"34","84.2","0.81","7","2.02","2.02","2.02","1","1.67",,"1.67"
"Maile, Luke","571912",141,"27","83","0.71","34","1.99","2.02","1.97","3","1.66","1.76","1.61"
"Smith, Kevan","607345",145,"30","83.1","0.72","21","2.01","2.02","2","0",,,
"Cervelli, Francisco","465041",134,"32","79.9","0.72","29","2.01","2.03","1.99","5","1.59","1.64","1.52"
"Kiner-Falefa, Isiah","643396",140,"23","77.6","0.67","13","2.04","2.03","2.05","0",,,
"Sucre, Jesús","491696",139,"30","84.6","0.78","17","2.01","2.03","1.98","1","1.6",,"1.6"
"Grandal, Yasmani","518735",119,"29","80.7","0.74","33","2.04","2.04","2.04","4","1.62",,"1.62"
"Ellis, A.J.","454560",135,"37","78","0.69","18","2.06","2.04","2.06","2","1.57","1.57",
"McCann, James","543510",116,"28","83.2","0.74","39","2.02","2.04","1.99","3","1.65","1.64","1.66"
"Narváez, Omar","553882",145,"26","80.8","0.72","38","2.03","2.05","2.02","5","1.6","1.63","1.55"
"Murphy, John Ryan","571974",109,"27","84.2","0.74","14","1.99","2.05","1.97","0",,,
"Joseph, Caleb","543376",110,"32","79.8","0.73","38","2.04","2.05","2.02","3","1.53","1.61","1.49"
"Maxwell, Bruce","622194",133,"27","80.5","0.73","12","2.09","2.05","2.11","2","1.61","1.61",
"Casali, Curt","592200",113,"29","79.5","0.77","9","2.1","2.05","2.14","3","1.55","1.61","1.52"
"Molina, Yadier","425877",138,"35","82.2","0.76","14","2.05","2.05","2.04","0",,,
"Barnhart, Tucker","571466",113,"27","79.3","0.7","37","2.03","2.05","2.03","4","1.73","1.81","1.5"
"Iannetta, Chris","455104",115,"35","81.4","0.79","20","2.04","2.06","2.04","2","1.6",,"1.6"
"Bandy, Jett","542908",158,"28","80.4","0.73","5","2.04","2.06","2","0",,,
"Garver, Mitch","641598",142,"27","81.5","0.78","20","2.08","2.06","2.09","0",,,
"Stallings, Jacob","607732",134,"28","84.2","0.76","3","2.04","2.06","2","1","1.55",,"1.55"
"Romine, Austin","519222",147,"29","84.7","0.8","35","2.04","2.06","2.03","1","1.58","1.58",
"Mesoraco, Devin","519023",121,"30","82.4","0.75","28","2.03","2.06","2.01","3","1.62",,"1.62"
"Castro, Jason","488771",142,"31","80.3","0.7","11","2.05","2.07","2.02","0",,,
"Wilson, Bobby","435064",142,"35","77.8","0.71","16","2.09","2.08","2.09","1","1.78","1.78",
"Plawecki, Kevin","608700",121,"27","78.5","0.74","40","2.07","2.08","2.07","3","1.63",,"1.63"
"Arcia, Francisco","516472",108,"28","79.8","0.76","11","2.05","2.08","2.03","1","1.59",,"1.59"
"Flowers, Tyler","452095",144,"32","74.8","0.75","25","2.14","2.08","2.15","3","1.72","1.7","1.73"
"McCann, Brian","435263",117,"34","77.2","0.77","16","2.08","2.08","2.08","1","1.65",,"1.65"
"Martin, Russell","431145",141,"35","83.1","0.74","39","2.01","2.08","1.99","4","1.59","1.61","1.57"
"Chirinos, Robinson","455139",140,"34","81.1","0.76","21","2.04","2.08","2.03","3","1.64",,"1.64"
"Vázquez, Christian","543877",111,"27","80.5","0.72","14","2.06","2.08","2.02","0",,,
"Sisco, Chance","642082",110,"23","78.4","0.8","14","2.09","2.09","2.08","5","1.7","1.69","1.7"
"Suzuki, Kurt","435559",144,"34","80.3","0.81","24","2.08","2.1","2.07","4","1.65","1.68","1.63"
"Stassi, Max","545358",117,"27","79.5","0.77","26","2.09","2.1","2.08","0",,,
"Telis, Tomás","542513",146,"27","81.9","0.89","2","2.13","2.12","2.13","0",,,
"Barnes, Austin","605131",119,"28","76","0.72","9","2.11","2.12","2.1","0",,,
"Mathis, Jeff","425772",109,"35","78.6","0.74","16","2.07","2.12","2.05","1","1.6","1.6",
"Gimenez, Chris","460269",142,"35","79.4","0.78","5","2.12","2.14","2.1","3","1.61","1.63","1.59"
"Caratini, Victor","605170",112,"24","80.7","0.81","14","2.08","2.15","2.07","3","1.69","1.65","1.7"
"Jansen, Danny","643376",141,"23","81.9","0.82","11","2.08","2.16","2.03","2","1.62",,"1.62"
"Susac, Andrew","572180",110,"28","82.9","1.05","1","2.44","2.44",,"0",,,
"Ciuffo, Nick","624419",139,"23","85.8","0.73","4","1.89",,"1.89","1","1.62","1.62",
"Federowicz, Tim","543148",113,"30","79.8","0.74","2","2",,"2","0",,,
"Montero, Miguel","471083",120,"34",,"0.67","1","2.04",,"2.04","0",,,
"Freitas, David","571679",136,"29","79.4","0.78","6","2.12",,"2.12","1","1.76","1.76",
"Garneau, Dustin","572863",145,"30",,"0.73","1","1.99",,"1.99","0",,,
"Haase, Eric","606992",114,"25","83.4","0.73","2","1.89",,"1.89","0",,,
"Mejía, Francisco","642336",135,"22","87.3","0.74","2","1.95",,"1.95","0",,,
"Cruz, Tony","488810",113,"31",,"0.78","1","2.07",,"2.07","0",,,
"Hudson, Joe","621529",108,"27","78.4","0.62","1","2.02",,"2.02","0",,,
"Kelly, Carson","608348",138,"23","80.6","0.87","2","2.15",,"2.15","0",,,
"Baron, Steven","571467",138,"27",,"0.83","1","2.07",,"2.07","0",,,
"Peña, Francisco","506747",138,"28","81.3","0.77","7","2.03",,"2.03","1","1.65","1.65",
"d'Arnaud, Travis","518595",121,"29","81.6","0.82","1","2.13",,"2.13","1","1.63",,"1.63"
