pitcher_id,season,opportunities_2b,sb_2b,cs_2b,attempts_2b,attempt_rate,sb_pct,tempo22_w,pitches22,baseline_group,in_baseline_2022,appears_post_only,balanced_panel_18_24
502026,2018,232,3,1,4,0.017241379310344827,0.75,,,,0,0,0
502028,2018,63,0,0,0,0.0,,,,,0,0,0
502032,2018,195,1,0,1,0.005128205128205128,1.0,,,,0,0,0
502042,2018,486,3,1,4,0.00823045267489712,0.75,20.227,286.0,T3,1,0,0
502043,2018,693,3,1,4,0.005772005772005772,0.75,19.888,418.0,T3,1,0,1
502051,2018,20,0,0,0,0.0,,,,,0,0,0
502083,2018,92,4,0,4,0.043478260869565216,1.0,,,,0,0,0
502085,2018,258,2,1,3,0.011627906976744186,0.6666666666666666,17.371,202.0,T2,1,0,0
502154,2018,131,3,0,3,0.022900763358778626,1.0,,,,0,0,0
502171,2018,433,3,5,8,0.018475750577367205,0.375,16.85,387.0,T1,1,0,1
502188,2018,196,7,2,9,0.04591836734693878,0.7777777777777778,,,,0,0,0
502190,2018,590,1,4,5,0.00847457627118644,0.2,,,,0,0,0
502202,2018,227,4,0,4,0.01762114537444934,1.0,17.407,234.0,T2,1,0,0
502212,2018,157,1,1,2,0.012738853503184714,0.5,,,,0,0,0
502239,2018,319,14,4,18,0.05642633228840126,0.7777777777777778,,,,0,0,0
502327,2018,484,4,2,6,0.012396694214876033,0.6666666666666666,,,,0,0,0
502381,2018,46,0,0,0,0.0,,,,,0,0,0
502522,2018,157,5,0,5,0.03184713375796178,1.0,,,,0,0,0
502593,2018,162,2,0,2,0.012345679012345678,1.0,,,,0,0,0
502624,2018,535,8,7,15,0.028037383177570093,0.5333333333333333,14.407,68.0,T1,1,0,1
502706,2018,570,4,1,5,0.008771929824561403,0.8,,,,0,0,0
502748,2018,149,1,0,1,0.006711409395973154,1.0,,,,0,0,0
503285,2018,49,0,1,1,0.02040816326530612,0.0,21.63,69.0,T3,1,0,0
503449,2018,132,0,0,0,0.0,,18.402,153.0,T2,1,0,0
504379,2018,134,1,2,3,0.022388059701492536,0.3333333333333333,,,,0,0,0
506433,2018,140,4,1,5,0.03571428571428571,0.8,20.938,374.0,T3,1,0,1
516472,2018,7,0,0,0,0.0,,,,,0,0,0
516969,2018,146,2,0,2,0.0136986301369863,1.0,,,,0,0,0
517008,2018,243,0,0,0,0.0,,23.552,134.0,T3,1,0,0
517414,2018,26,1,0,1,0.038461538461538464,1.0,,,,0,0,0
518397,2018,184,2,3,5,0.02717391304347826,0.4,,,,0,0,1
518445,2018,18,0,0,0,0.0,,,,,0,0,0
518452,2018,388,0,2,2,0.005154639175257732,0.0,,,,0,0,0
518489,2018,76,0,1,1,0.013157894736842105,0.0,19.98,147.0,T3,1,0,1
518516,2018,387,5,0,5,0.012919896640826873,1.0,17.441,481.0,T2,1,0,0
518553,2018,236,0,1,1,0.00423728813559322,0.0,16.996,252.0,T1,1,0,0
518566,2018,92,0,1,1,0.010869565217391304,0.0,,,,0,0,0
518586,2018,4,0,0,0,0.0,,,,,0,0,0
518614,2018,7,0,0,0,0.0,,,,,0,0,0
518617,2018,243,0,2,2,0.00823045267489712,0.0,23.533,301.0,T3,1,0,1
518633,2018,628,4,2,6,0.009554140127388535,0.6666666666666666,,,,0,0,0
518693,2018,163,3,0,3,0.018404907975460124,1.0,,,,0,0,0
518715,2018,190,4,0,4,0.021052631578947368,1.0,,,,0,0,0
518748,2018,87,3,1,4,0.04597701149425287,0.75,22.445,59.0,T3,1,0,0
518774,2018,539,5,2,7,0.012987012987012988,0.7142857142857143,,,,0,0,0
518813,2018,196,0,0,0,0.0,,,,,0,0,0
518858,2018,98,1,0,1,0.01020408163265306,1.0,,,,0,0,0
518875,2018,110,0,0,0,0.0,,,,,0,0,0
518883,2018,4,0,0,0,0.0,,,,,0,0,0
518886,2018,189,4,0,4,0.021164021164021163,1.0,22.748,216.0,T3,1,0,1
519008,2018,279,3,0,3,0.010752688172043012,1.0,17.364,108.0,T2,1,0,1
519043,2018,298,2,0,2,0.006711409395973154,1.0,19.883,170.0,T3,1,0,0
519096,2018,184,0,0,0,0.0,,,,,0,0,0
