gamePk,season,level_name,play_idx,pitcher_id,pitcher_name,batter_id,runner_id,balls,strikes,outs,runner_state,event_type,base_to
671647,2022,AA,27,686973,Louis Varland,670231,,3,3,2,1__,SB,second
671647,2022,AA,41,676252,Zach Haake,657510,,4,2,1,1__,SB,second
672908,2022,AA,27,684946,Nick Fraze,686668,,2,2,2,12_,SB,third
672893,2022,AA,11,680765,Joey Murray,676939,,4,0,2,1__,SB,second
672893,2022,AA,22,680765,Joey Murray,669911,,0,2,2,12_,SB,second
672908,2022,AA,27,684946,Nick Fraze,686668,,2,2,2,12_,SB,third
672332,2022,AA,2,665622,Luis Medina,693307,,0,3,2,1__,SB,second
672332,2022,AA,9,682051,Garrett Hill,671271,,2,3,3,1__,SB,second
672332,2022,AA,16,682051,Garrett Hill,661733,,3,2,2,1__,SB,second
672332,2022,AA,32,656671,Josh Maciejewski,693307,,1,1,1,12_,SB,second
672332,2022,AA,35,656671,Josh Maciejewski,667472,,1,3,3,1__,SB,second
672332,2022,AA,41,656671,Josh Maciejewski,650700,,2,0,3,1__,CS,second
672332,2022,AA,58,675651,Steven Jennings,676811,,1,1,2,1__,CS,second
672332,2022,AA,68,675651,Steven Jennings,693307,,2,3,2,1__,SB,second
672462,2022,AA,5,681347,Mike Burrows,669717,,0,3,1,1__,SB,second
672462,2022,AA,47,676298,Frank Rubio,669261,,4,0,2,1__,SB,second
673761,2022,AA,9,675540,Xzavion Curry,687347,,3,2,2,1_3,SB,second
673761,2022,AA,41,676711,Nick Gallagher,687347,,4,2,0,1__,SB,second
674543,2022,AA,50,660619,Felipe Tejada,687331,,4,1,1,_2_,SB,third
674353,2022,AA,6,686754,Ryan Jensen,670224,,1,3,1,1__,SB,second
674353,2022,AA,7,686754,Ryan Jensen,657212,,4,2,1,_2_,SB,third
674019,2022,AA,2,687143,Brent Killam,687859,,2,2,3,1__,CS,second
674019,2022,AA,23,687143,Brent Killam,665052,,2,3,3,1__,SB,second
674019,2022,AA,47,666199,Zach Linginfelter,664697,,2,0,1,12_,SB,second
674953,2022,AA,24,670241,Darius Vines,666186,,3,2,2,12_,CS,third
671670,2022,AA,94,662121,Dalton Sawyer,673237,,0,2,2,_2_,SB,third
671670,2022,AA,103,686766,William Simoneit,680244,,4,2,1,1__,SB,second
671484,2022,AA,6,674003,Cody Bradford,660857,,3,3,3,1__,SB,second
671484,2022,AA,28,674003,Cody Bradford,660857,,1,2,1,12_,SB,second
671484,2022,AA,47,674003,Cody Bradford,676864,,1,1,0,12_,SB,second
671199,2022,AA,34,663795,Justin Hagenman,682998,,4,1,1,12_,SB,second
