runner_id,season,opponent_team,opponent_team_id,onbase_count,game_count,weight_onbase,weight_games,weight
400121.0,2018,New York Yankees,147,2,1,0.024390243902439025,0.02564102564102564,0.024390243902439025
400121.0,2018,Seattle Mariners,136,2,1,0.024390243902439025,0.02564102564102564,0.024390243902439025
400121.0,2018,Toronto Blue Jays,141,2,1,0.024390243902439025,0.02564102564102564,0.024390243902439025
400121.0,2018,Houston Astros,117,1,1,0.012195121951219513,0.02564102564102564,0.012195121951219513
400284.0,2018,Arizona Diamondbacks,109,16,8,0.3076923076923077,0.26666666666666666,0.3076923076923077
400284.0,2018,San Diego Padres,135,11,6,0.21153846153846154,0.2,0.21153846153846154
400284.0,2018,San Francisco Giants,137,11,4,0.21153846153846154,0.13333333333333333,0.21153846153846154
400284.0,2018,Milwaukee Brewers,158,3,2,0.057692307692307696,0.06666666666666667,0.057692307692307696
400284.0,2018,Cincinnati Reds,113,2,2,0.038461538461538464,0.06666666666666667,0.038461538461538464
400284.0,2018,Colorado Rockies,115,2,2,0.038461538461538464,0.06666666666666667,0.038461538461538464
400284.0,2018,Los Angeles Angels,108,2,1,0.038461538461538464,0.03333333333333333,0.038461538461538464
400284.0,2018,Washington Nationals,120,2,2,0.038461538461538464,0.06666666666666667,0.038461538461538464
400284.0,2018,Atlanta Braves,144,1,1,0.019230769230769232,0.03333333333333333,0.019230769230769232
400284.0,2018,Miami Marlins,146,1,1,0.019230769230769232,0.03333333333333333,0.019230769230769232
400284.0,2018,New York Mets,121,1,1,0.019230769230769232,0.03333333333333333,0.019230769230769232
405395.0,2018,Oakland Athletics,133,18,7,0.1875,0.14,0.1875
405395.0,2018,Detroit Tigers,116,14,6,0.14583333333333334,0.12,0.14583333333333334
405395.0,2018,Seattle Mariners,136,13,7,0.13541666666666666,0.14,0.13541666666666666
405395.0,2018,Texas Rangers,140,12,6,0.125,0.12,0.125
405395.0,2018,Tampa Bay Rays,139,6,3,0.0625,0.06,0.0625
405395.0,2018,Baltimore Orioles,110,5,3,0.052083333333333336,0.06,0.052083333333333336
405395.0,2018,Minnesota Twins,142,5,4,0.052083333333333336,0.08,0.052083333333333336
405395.0,2018,Toronto Blue Jays,141,5,3,0.052083333333333336,0.06,0.052083333333333336
405395.0,2018,Cleveland Indians,114,4,1,0.041666666666666664,0.02,0.041666666666666664
405395.0,2018,Chicago White Sox,145,3,2,0.03125,0.04,0.03125
405395.0,2018,Houston Astros,117,3,2,0.03125,0.04,0.03125
405395.0,2018,New York Yankees,147,3,2,0.03125,0.04,0.03125
405395.0,2018,Boston Red Sox,111,2,1,0.020833333333333332,0.02,0.020833333333333332
405395.0,2018,Arizona Diamondbacks,109,1,1,0.010416666666666666,0.02,0.010416666666666666
405395.0,2018,Colorado Rockies,115,1,1,0.010416666666666666,0.02,0.010416666666666666
405395.0,2018,San Diego Padres,135,1,1,0.010416666666666666,0.02,0.010416666666666666
407812.0,2018,San Diego Padres,135,3,2,0.2727272727272727,0.25,0.2727272727272727
407812.0,2018,San Francisco Giants,137,3,2,0.2727272727272727,0.25,0.2727272727272727
407812.0,2018,St. Louis Cardinals,138,3,2,0.2727272727272727,0.25,0.2727272727272727
